seed,class_name,alpha,rho,method,ranking,budget,residual_region_fnr,lam
0,person,0.2,0.5,region_crc,random,0.3,0.10211175885517991,0.972
0,person,0.2,0.5,region_crc,random,0.35,0.09562418575576472,0.972
0,person,0.2,0.5,region_crc,random,0.4,0.08215474827316932,0.972
0,person,0.2,0.5,region_crc,random,0.45,0.07842667809773071,0.972
0,person,0.2,0.5,region_crc,random,0.5,0.0703857424252161,0.972
0,person,0.2,0.5,region_crc,oracle,0.0,0.14945620899568265,0.972
0,person,0.2,0.5,region_crc,oracle,0.05,0.10121059496059495,0.972
0,person,0.2,0.5,region_crc,oracle,0.1,0.05677137190295086,0.972
0,person,0.2,0.5,region_crc,oracle,0.15,0.030528681844471314,0.972
0,person,0.2,0.5,region_crc,oracle,0.2,0.011978518557465926,0.972
0,person,0.2,0.5,region_crc,oracle,0.25,0.000667096061832904,0.972
0,person,0.2,0.5,region_crc,oracle,0.3,0.0,0.972
0,person,0.2,0.5,region_crc,oracle,0.35,0.0,0.972
0,person,0.2,0.5,region_crc,oracle,0.4,0.0,0.972
0,person,0.2,0.5,region_crc,oracle,0.45,0.0,0.972
0,person,0.2,0.5,region_crc,oracle,0.5,0.0,0.972
0,rider,0.05,0.1,region_crc,area,0.0,0.0,1.0
0,rider,0.05,0.1,region_crc,area,0.05,0.0,1.0
0,rider,0.05,0.1,region_crc,area,0.1,0.0,1.0
0,rider,0.05,0.1,region_crc,area,0.15,0.0,1.0
0,rider,0.05,0.1,region_crc,area,0.2,0.0,1.0
0,rider,0.05,0.1,region_crc,area,0.25,0.0,1.0
0,rider,0.05,0.1,region_crc,area,0.3,0.0,1.0
0,rider,0.05,0.1,region_crc,area,0.35,0.0,1.0
0,rider,0.05,0.1,region_crc,area,0.4,0.0,1.0
0,rider,0.05,0.1,region_crc,area,0.45,0.0,1.0
0,rider,0.05,0.1,region_crc,area,0.5,0.0,1.0
0,rider,0.05,0.1,region_crc,random,0.0,0.0,1.0
0,rider,0.05,0.1,region_crc,random,0.05,0.0,1.0
0,rider,0.05,0.1,region_crc,random,0.1,0.0,1.0
0,rider,0.05,0.1,region_crc,random,0.15,0.0,1.0
0,rider,0.05,0.1,region_crc,random,0.2,0.0,1.0
0,rider,0.05,0.1,region_crc,random,0.25,0.0,1.0
0,rider,0.05,0.1,region_crc,random,0.3,0.0,1.0
0,rider,0.05,0.1,region_crc,random,0.35,0.0,1.0
0,rider,0.05,0.1,region_crc,random,0.4,0.0,1.0
0,rider,0.05,0.1,region_crc,random,0.45,0.0,1.0
0,rider,0.05,0.1,region_crc,random,0.5,0.0,1.0
0,rider,0.05,0.1,region_crc,oracle,0.0,0.0,1.0
0,rider,0.05,0.1,region_crc,oracle,0.05,0.0,1.0
0,rider,0.05,0.1,region_crc,oracle,0.1,0.0,1.0
0,rider,0.05,0.1,region_crc,oracle,0.15,0.0,1.0
0,rider,0.05,0.1,region_crc,oracle,0.2,0.0,1.0
0,rider,0.05,0.1,region_crc,oracle,0.25,0.0,1.0
