fnr_boot_lo,fnr_boot_hi,n_test_clusters,lam,lam_index,feasible,controlled_risk,region_fnr,marked_area_fraction,fp_components_per_image,n_test_images,n_test_components,monitor_ks,monitor_flag,fnr_stratum0,fnr_stratum1,fnr_stratum2,weight_ess,weight_p_test,seed,class_name,alpha,rho,method,model,scheme,n_cal_images
,,,0.999,999,True,0.04630175692977625,0.046301756929776255,0.06663430482149124,0.172,207,1445.0,0.10399999999999998,False,0.05112219451371571,0.012072434607645875,0.0,,,2,person,0.05,0.5,region_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,195
,,,0.995,995,True,0.12101770541668241,0.12101770541668241,0.04670855775475502,0.172,207,1445.0,0.09600000000000003,False,0.11845386533665836,0.030181086519114688,0.0,,,2,person,0.1,0.5,region_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,195
,,,0.986,986,True,0.19015828456010322,0.19015828456010322,0.037000034004449844,8.06,207,1445.0,0.10000000000000003,False,0.20199501246882792,0.06438631790744467,0.0,,,2,person,0.2,0.5,region_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,195
,,,1.0,1000,True,0.0,0.0,1.0,0.492,127,387.0,0.0,False,0.0,0.0,0.0,,,2,rider,0.05,0.1,region_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,126
,,,0.999,999,True,0.07970061434628363,0.07970061434628364,0.021531477570533752,0.492,127,387.0,0.06,False,0.13839285714285715,0.022556390977443608,0.0,,,2,rider,0.1,0.1,region_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,126
,,,0.997,997,True,0.13794958322517376,0.13794958322517378,0.01498403400182724,0.492,127,387.0,0.07600000000000001,False,0.21428571428571427,0.045112781954887216,0.0,,,2,rider,0.2,0.1,region_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,126
,,,1.0,1000,True,0.0,0.0,1.0,0.492,127,387.0,0.0,False,0.0,0.0,0.0,,,2,rider,0.05,0.5,region_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,126
,,,1.0,1000,True,0.0,0.0,1.0,0.492,127,387.0,0.0,False,0.0,0.0,0.0,,,2,rider,0.1,0.5,region_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,126
,,,0.998,998,True,0.15600357647601742,0.15600357647601745,0.017207635566592216,0.492,127,387.0,0.07600000000000001,False,0.24107142857142858,0.05263157894736842,0.03333333333333333,,,2,rider,0.2,0.5,region_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,126
,,,1.0,1000,True,0.0,0.0,1.0,0.308,173,873.0,0.0,False,0.0,0.0,0.0,,,2,bicycle,0.05,0.1,region_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,172
,,,0.998,998,True,0.06077732479466584,0.06077732479466584,0.029476091265678406,0.308,173,873.0,0.05199999999999999,False,0.09090909090909091,0.008875739644970414,0.0,,,2,bicycle,0.1,0.1,region_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,172
,,,0.986,986,True,0.16803131037235083,0.16803131037235083,0.01770760864019394,4.188,173,873.0,0.08400000000000002,False,0.2727272727272727,0.04437869822485207,0.0,,,2,bicycle,0.2,0.1,region_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,172
,,,1.0,1000,True,0.0,0.0,1.0,0.308,173,873.0,0.0,False,0.0,0.0,0.0,,,2,bicycle,0.05,0.5,region_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,172
,,,0.999,999,True,0.06342018610804738,0.06342018610804738,0.03536776825785637,0.308,173,873.0,0.04400000000000004,False,0.10173160173160173,0.014792899408284023,0.0,,,2,bicycle,0.1,0.5,region_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,172
,,,0.993,993,True,0.17311720071835676,0.17311720071835676,0.0211787186563015,0.308,173,873.0,0.064,False,0.25757575757575757,0.05917159763313609,0.0,,,2,bicycle,0.2,0.5,region_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,172
,,,1.0,1000,True,0.0,0.0,,,225,,,False,,,,,,2,max_over_classes,0.05,0.1,shared_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,225
,,,1.0,1000,True,0.0,0.0,1.0,,207,,,False,,,,,,2,person,0.05,0.1,shared_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,225
,,,1.0,1000,True,0.0,0.0,1.0,,127,,,False,,,,,,2,rider,0.05,0.1,shared_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,225
,,,1.0,1000,True,0.0,0.0,1.0,,173,,,False,,,,,,2,bicycle,0.05,0.1,shared_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,225
,,,0.999,999,True,0.0790221054665499,0.0790221054665499,,,225,,,False,,,,,,2,max_over_classes,0.1,0.1,shared_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,225
,,,0.999,999,True,0.02052710216961425,0.02052710216961425,0.06663430482149124,,207,,,False,,,,,,2,person,0.1,0.1,shared_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,225
,,,0.999,999,True,0.07970061434628363,0.07970061434628363,0.021531477570533752,,127,,,False,,,,,,2,rider,0.1,0.1,shared_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,225
,,,0.999,999,True,0.039298081494613286,0.039298081494613286,0.03536776825785637,,173,,,False,,,,,,2,bicycle,0.1,0.1,shared_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,225
,,,0.996,996,True,0.1749242401268545,0.1749242401268545,,,225,,,False,,,,,,2,max_over_classes,0.2,0.1,shared_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,225
,,,0.996,996,True,0.06664288896457125,0.06664288896457125,0.04908982664346695,,207,,,False,,,,,,2,person,0.2,0.1,shared_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,225
,,,0.996,996,True,0.15870323901819966,0.15870323901819966,0.01354542002081871,,127,,,False,,,,,,2,rider,0.2,0.1,shared_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,225
,,,0.996,996,True,0.08633346422363762,0.08633346422363762,0.02458220347762108,,173,,,False,,,,,,2,bicycle,0.2,0.1,shared_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,225
,,,1.0,1000,True,0.0,0.0,,,225,,,False,,,,,,2,max_over_classes,0.05,0.5,shared_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,225
,,,1.0,1000,True,0.0,0.0,1.0,,207,,,False,,,,,,2,person,0.05,0.5,shared_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,225
,,,1.0,1000,True,0.0,0.0,1.0,,127,,,False,,,,,,2,rider,0.05,0.5,shared_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,225
,,,1.0,1000,True,0.0,0.0,1.0,,173,,,False,,,,,,2,bicycle,0.05,0.5,shared_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,225
,,,1.0,1000,True,0.0,0.0,,,225,,,False,,,,,,2,max_over_classes,0.1,0.5,shared_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,225
,,,1.0,1000,True,0.0,0.0,1.0,,207,,,False,,,,,,2,person,0.1,0.5,shared_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,225
,,,1.0,1000,True,0.0,0.0,1.0,,127,,,False,,,,,,2,rider,0.1,0.5,shared_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,225
,,,1.0,1000,True,0.0,0.0,1.0,,173,,,False,,,,,,2,bicycle,0.1,0.5,shared_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,225
,,,0.998,998,True,0.18530594073077733,0.18530594073077733,,,225,,,False,,,,,,2,max_over_classes,0.2,0.5,shared_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,225
