fnr_boot_lo,fnr_boot_hi,n_test_clusters,lam,lam_index,feasible,controlled_risk,region_fnr,marked_area_fraction,fp_components_per_image,n_test_images,n_test_components,monitor_ks,monitor_flag,fnr_stratum0,fnr_stratum1,fnr_stratum2,weight_ess,weight_p_test,seed,class_name,alpha,rho,method,model,scheme,n_cal_images
,,,0.999,999,True,0.03942574875691348,0.05512501307298995,0.021215345710515976,0.308,173,873,0.068,False,0.05844155844155844,0.01775147928994083,0.0,,,2,bicycle,0.05,0.1,region_crc,segformer_b5_cityscapes,cityscapes_val_half,172
,,,0.974,974,True,0.12187608820807501,0.1922802574281663,0.011357094161212444,5.912,173,873,0.07200000000000001,False,0.2510822510822511,0.038461538461538464,0.0,,,2,bicycle,0.1,0.1,region_crc,segformer_b5_cityscapes,cityscapes_val_half,172
,,,0.618,618,True,0.19037957497682367,0.33689814001782714,0.007310348562896252,1.24,173,873,0.04400000000000004,False,0.5541125541125541,0.07100591715976332,0.0,,,2,bicycle,0.2,0.1,region_crc,segformer_b5_cityscapes,cityscapes_val_half,172
,,,1.0,1000,True,0.0,0.0,1.0,0.308,173,873,0.0,False,0.0,0.0,0.0,,,2,bicycle,0.05,0.5,region_crc,segformer_b5_cityscapes,cityscapes_val_half,172
,,,0.993,993,True,0.10871742702392621,0.16720381416913208,0.014155073091387749,0.308,173,873,0.07199999999999998,False,0.20995670995670995,0.038461538461538464,0.0,,,2,bicycle,0.1,0.5,region_crc,segformer_b5_cityscapes,cityscapes_val_half,172
,,,0.886,886,True,0.18839987951626516,0.31238299744760134,0.009100019000470638,2.352,173,873,0.06400000000000003,False,0.46320346320346323,0.07988165680473373,0.0,,,2,bicycle,0.2,0.5,region_crc,segformer_b5_cityscapes,cityscapes_val_half,172
,,,0.981,981,True,0.08858403935352362,0.15438470663458026,0.019536567851901054,12.732,196,1317,0.07200000000000006,False,0.20193637621023514,0.019438444924406047,0.0,,,3,person,0.05,0.1,region_crc,segformer_b5_cityscapes,cityscapes_val_half,206
,,,0.91,910,True,0.1387431188921257,0.24539257379403964,0.015104244463145733,6.792,196,1317,0.07200000000000001,False,0.3360995850622407,0.05183585313174946,0.0,,,3,person,0.1,0.1,region_crc,segformer_b5_cityscapes,cityscapes_val_half,206
,,,0.364,364,True,0.2536047652911983,0.446405483104202,0.010073667392134666,1.772,196,1317,0.10799999999999998,False,0.673582295988935,0.13390928725701945,0.0,,,3,person,0.2,0.1,region_crc,segformer_b5_cityscapes,cityscapes_val_half,206
,,,0.999,999,True,0.0661703613334272,0.09469324552062912,0.03378964215517044,0.216,196,1317,0.06800000000000006,False,0.1037344398340249,0.017278617710583154,0.0,,,3,person,0.05,0.5,region_crc,segformer_b5_cityscapes,cityscapes_val_half,206
,,,0.978,978,True,0.13783770867776535,0.22482004069599634,0.019054647535085678,12.732,196,1317,0.07199999999999995,False,0.2959889349930844,0.06047516198704104,0.0,,,3,person,0.1,0.5,region_crc,segformer_b5_cityscapes,cityscapes_val_half,206
,,,0.668,668,True,0.25483315879101365,0.44167122856731594,0.011993915773928165,3.3,196,1317,0.07600000000000001,False,0.6390041493775933,0.15982721382289417,0.007633587786259542,,,3,person,0.2,0.5,region_crc,segformer_b5_cityscapes,cityscapes_val_half,206
,,,1.0,1000,True,0.0,0.0,1.0,0.496,126,342,0.0,False,0.0,0.0,0.0,,,3,rider,0.05,0.1,region_crc,segformer_b5_cityscapes,cityscapes_val_half,127
,,,1.0,1000,True,0.0,0.0,1.0,0.496,126,342,0.0,False,0.0,0.0,0.0,,,3,rider,0.1,0.1,region_crc,segformer_b5_cityscapes,cityscapes_val_half,127
,,,0.998,998,True,0.058056771232545844,0.06840857555143269,0.007389013189822435,0.496,126,342,0.07999999999999996,False,0.1144578313253012,0.013793103448275862,0.0,,,3,rider,0.2,0.1,region_crc,segformer_b5_cityscapes,cityscapes_val_half,127
,,,1.0,1000,True,0.0,0.0,1.0,0.496,126,342,0.0,False,0.0,0.0,0.0,,,3,rider,0.05,0.5,region_crc,segformer_b5_cityscapes,cityscapes_val_half,127
,,,1.0,1000,True,0.0,0.0,1.0,0.496,126,342,0.0,False,0.0,0.0,0.0,,,3,rider,0.1,0.5,region_crc,segformer_b5_cityscapes,cityscapes_val_half,127
,,,1.0,1000,True,0.0,0.0,1.0,0.496,126,342,0.0,False,0.0,0.0,0.0,,,3,rider,0.2,0.5,region_crc,segformer_b5_cityscapes,cityscapes_val_half,127
,,,0.999,999,True,0.039134410744313904,0.054515733635051807,0.021075157448649406,0.296,176,819,0.04800000000000004,False,0.08374384236453201,0.01466275659824047,0.0,,,3,bicycle,0.05,0.1,region_crc,segformer_b5_cityscapes,cityscapes_val_half,169
,,,0.991,991,True,0.059907687301608774,0.10436141352334535,0.013844586908817291,0.296,176,819,0.08400000000000002,False,0.1921182266009852,0.02346041055718475,0.0,,,3,bicycle,0.1,0.1,region_crc,segformer_b5_cityscapes,cityscapes_val_half,169
,,,0.8150000000000001,815,True,0.12870712076064905,0.23168877366320545,0.008775758557021618,1.868,176,819,0.08800000000000002,False,0.43103448275862066,0.05865102639296188,0.0,,,3,bicycle,0.2,0.1,region_crc,segformer_b5_cityscapes,cityscapes_val_half,169
,,,1.0,1000,True,0.0,0.0,1.0,0.296,176,819,0.0,False,0.0,0.0,0.0,,,3,bicycle,0.05,0.5,region_crc,segformer_b5_cityscapes,cityscapes_val_half,169
,,,0.998,998,True,0.052179026486447476,0.08936807353000534,0.018245413899421692,0.296,176,819,0.04799999999999993,False,0.16502463054187191,0.02346041055718475,0.0,,,3,bicycle,0.1,0.5,region_crc,segformer_b5_cityscapes,cityscapes_val_half,169
,,,0.927,927,True,0.15448867533701013,0.2458200417007235,0.010117527097463608,3.06,176,819,0.10000000000000003,False,0.4211822660098522,0.08797653958944282,0.0,,,3,bicycle,0.2,0.5,region_crc,segformer_b5_cityscapes,cityscapes_val_half,169
,,,0.994,994,True,0.04705811939646853,0.07638618554127406,0.026144783943891525,0.188,203,1307,0.07600000000000001,False,0.09787234042553192,0.014989293361884369,0.0,,,4,person,0.05,0.1,region_crc,segformer_b5_cityscapes,cityscapes_val_half,199
,,,0.9540000000000001,954,True,0.09139182262867002,0.16433009737315127,0.01907273568212986,9.18,203,1307,0.068,False,0.24397163120567375,0.032119914346895075,0.0,,,4,person,0.1,0.1,region_crc,segformer_b5_cityscapes,cityscapes_val_half,199
,,,0.434,434,True,0.21563927143875897,0.3813806516547141,0.012444259598851204,2.02,203,1307,0.068,False,0.5929078014184397,0.11991434689507495,0.007407407407407408,,,4,person,0.2,0.1,region_crc,segformer_b5_cityscapes,cityscapes_val_half,199
,,,0.999,999,True,0.054683891912912334,0.06912680039363381,0.035916656255722046,0.188,203,1307,0.064,False,0.075177304964539,0.019271948608137045,0.0,,,4,person,0.05,0.5,region_crc,segformer_b5_cityscapes,cityscapes_val_half,199
,,,0.988,988,True,0.10124023911163414,0.15942386110643977,0.023340553045272827,0.188,203,1307,0.07600000000000001,False,0.2099290780141844,0.04068522483940043,0.0,,,4,person,0.1,0.5,region_crc,segformer_b5_cityscapes,cityscapes_val_half,199
,,,0.777,777,True,0.20334840071703808,0.3569237162654784,0.015069650486111641,4.128,203,1307,0.07600000000000001,False,0.5290780141843971,0.13062098501070663,0.007407407407407408,,,4,person,0.2,0.5,region_crc,segformer_b5_cityscapes,cityscapes_val_half,199
,,,1.0,1000,True,0.0,0.0,1.0,0.508,123,355,0.0,False,0.0,0.0,0.0,,,4,rider,0.05,0.1,region_crc,segformer_b5_cityscapes,cityscapes_val_half,130
,,,1.0,1000,True,0.0,0.0,1.0,0.508,123,355,0.0,False,0.0,0.0,0.0,,,4,rider,0.1,0.1,region_crc,segformer_b5_cityscapes,cityscapes_val_half,130
,,,0.975,975,True,0.23944330287061472,0.2958351946156824,0.0031825199257582426,2.044,123,355,0.07600000000000007,False,0.4057971014492754,0.11363636363636363,0.0,,,4,rider,0.2,0.1,region_crc,segformer_b5_cityscapes,cityscapes_val_half,130
,,,1.0,1000,True,0.0,0.0,1.0,0.508,123,355,0.0,False,0.0,0.0,0.0,,,4,rider,0.05,0.5,region_crc,segformer_b5_cityscapes,cityscapes_val_half,130
,,,1.0,1000,True,0.0,0.0,1.0,0.508,123,355,0.0,False,0.0,0.0,0.0,,,4,rider,0.1,0.5,region_crc,segformer_b5_cityscapes,cityscapes_val_half,130
,,,0.993,993,True,0.24872751532737344,0.29602132285059113,0.0042039621621370316,0.508,123,355,0.08399999999999996,False,0.3961352657004831,0.12121212121212122,0.0625,,,4,rider,0.2,0.5,region_crc,segformer_b5_cityscapes,cityscapes_val_half,130
,,,1.0,1000,True,0.0,0.0,1.0,0.3,175,862,0.0,False,0.0,0.0,0.0,,,4,bicycle,0.05,0.1,region_crc,segformer_b5_cityscapes,cityscapes_val_half,170
,,,0.986,986,True,0.08453926627973866,0.14198311970982777,0.012223150581121445,5.272,175,862,0.06400000000000006,False,0.2111111111111111,0.03498542274052478,0.0,,,4,bicycle,0.1,0.1,region_crc,segformer_b5_cityscapes,cityscapes_val_half,170
,,,0.663,663,True,0.1804537352379709,0.3127929496314589,0.0075060101225972176,1.324,175,862,0.06799999999999995,False,0.54,0.06997084548104957,0.0,,,4,bicycle,0.2,0.1,region_crc,segformer_b5_cityscapes,cityscapes_val_half,170
,,,1.0,1000,True,0.0,0.0,1.0,0.3,175,862,0.0,False,0.0,0.0,0.0,,,4,bicycle,0.05,0.5,region_crc,segformer_b5_cityscapes,cityscapes_val_half,170
,,,0.994,994,True,0.09202918603501625,0.1491913055888211,0.014138706028461456,0.3,175,862,0.06400000000000006,False,0.2222222222222222,0.04081632653061224,0.0,,,4,bicycle,0.1,0.5,region_crc,segformer_b5_cityscapes,cityscapes_val_half,170
,,,0.908,908,True,0.1735368114714452,0.2851501479886573,0.009310687892138958,2.404,175,862,0.06399999999999995,False,0.4711111111111111,0.0728862973760933,0.0,,,4,bicycle,0.2,0.5,region_crc,segformer_b5_cityscapes,cityscapes_val_half,170
,,,0.992,992,True,0.05908642704547917,0.10750773977565715,0.026167208328843117,0.196,201,1373,0.068,False,0.14049586776859505,0.024193548387096774,0.0,,,5,person,0.05,0.1,region_crc,segformer_b5_cityscapes,cityscapes_val_half,201
,,,0.9550000000000001,955,True,0.0878464514517719,0.16909176677590798,0.02005024068057537,9.76,201,1373,0.08000000000000007,False,0.2630853994490358,0.04233870967741935,0.0,,,5,person,0.1,0.1,region_crc,segformer_b5_cityscapes,cityscapes_val_half,201
,,,0.545,545,True,0.174906081377891,0.34016291414979094,0.013716724701225758,2.62,201,1373,0.08800000000000002,False,0.5785123966942148,0.08669354838709678,0.0,,,5,person,0.2,0.1,region_crc,segformer_b5_cityscapes,cityscapes_val_half,201
,,,0.999,999,True,0.059464051779918356,0.08408415098482562,0.037725504487752914,0.196,201,1373,0.055999999999999994,False,0.09228650137741047,0.028225806451612902,0.0,,,5,person,0.05,0.5,region_crc,segformer_b5_cityscapes,cityscapes_val_half,201
,,,0.991,991,True,0.08418531990177465,0.14658755262112316,0.02567126415669918,0.196,201,1373,0.068,False,0.2024793388429752,0.046370967741935484,0.0,,,5,person,0.1,0.5,region_crc,segformer_b5_cityscapes,cityscapes_val_half,201
,,,0.856,856,True,0.16095104160529392,0.29786131764136475,0.016876161098480225,5.404,201,1373,0.07600000000000007,False,0.4807162534435262,0.0907258064516129,0.006622516556291391,,,5,person,0.2,0.5,region_crc,segformer_b5_cityscapes,cityscapes_val_half,201
,,,1.0,1000,True,0.0,0.0,1.0,0.504,124,356,0.0,False,0.0,0.0,0.0,,,5,rider,0.05,0.1,region_crc,segformer_b5_cityscapes,cityscapes_val_half,129
,,,0.999,999,True,0.11006041609380404,0.14345587208490432,0.008456321433186531,0.504,124,356,0.05199999999999999,False,0.19387755102040816,0.046875,0.0,,,5,rider,0.1,0.1,region_crc,segformer_b5_cityscapes,cityscapes_val_half,129
,,,0.984,984,True,0.22400345634119515,0.2830296048037984,0.004629514645785093,2.252,124,356,0.064,False,0.37755102040816324,0.125,0.0,,,5,rider,0.2,0.1,region_crc,segformer_b5_cityscapes,cityscapes_val_half,129
,,,1.0,1000,True,0.0,0.0,1.0,0.504,124,356,0.0,False,0.0,0.0,0.0,,,5,rider,0.05,0.5,region_crc,segformer_b5_cityscapes,cityscapes_val_half,129
,,,1.0,1000,True,0.0,0.0,1.0,0.504,124,356,0.0,False,0.0,0.0,0.0,,,5,rider,0.1,0.5,region_crc,segformer_b5_cityscapes,cityscapes_val_half,129
,,,0.995,995,True,0.2279694220886567,0.27112484289903643,0.005840488243848085,0.504,124,356,0.05600000000000005,False,0.3520408163265306,0.1328125,0.03125,,,5,rider,0.2,0.5,region_crc,segformer_b5_cityscapes,cityscapes_val_half,129
,,,0.996,996,True,0.07380545591673138,0.11292039117494122,0.01566455513238907,0.312,172,849,0.068,False,0.15502183406113537,0.029315960912052116,0.0,,,5,bicycle,0.05,0.1,region_crc,segformer_b5_cityscapes,cityscapes_val_half,173
,,,0.967,967,True,0.13529320026453445,0.2077852723896708,0.010928603820502758,5.612,172,849,0.052000000000000046,False,0.28820960698689957,0.05863192182410423,0.0,,,5,bicycle,0.1,0.1,region_crc,segformer_b5_cityscapes,cityscapes_val_half,173
,,,0.361,361,True,0.24183305189659007,0.4143768579751896,0.006164316087961197,0.744,172,849,0.06,False,0.6855895196506551,0.13029315960912052,0.0,,,5,bicycle,0.2,0.1,region_crc,segformer_b5_cityscapes,cityscapes_val_half,173
,,,0.998,998,True,0.10047468999716375,0.14438430558880508,0.018048983067274094,0.312,172,849,0.06799999999999998,False,0.18995633187772926,0.04560260586319218,0.0,,,5,bicycle,0.05,0.5,region_crc,segformer_b5_cityscapes,cityscapes_val_half,173
,,,0.986,986,True,0.14602041782533065,0.21748126115542699,0.012498684227466583,5.612,172,849,0.04800000000000004,False,0.29694323144104806,0.0749185667752443,0.0,,,5,bicycle,0.1,0.5,region_crc,segformer_b5_cityscapes,cityscapes_val_half,173
,,,0.735,735,True,0.2547142823008538,0.40321094055927226,0.00782998837530613,1.528,172,849,0.068,False,0.6091703056768559,0.15960912052117263,0.0,,,5,bicycle,0.2,0.5,region_crc,segformer_b5_cityscapes,cityscapes_val_half,173
,,,0.992,992,True,0.058902115146635105,0.10591313570339105,0.024812636896967888,0.192,202,1383,0.04800000000000004,False,0.13154533844189017,0.017316017316017316,0.0,,,6,person,0.05,0.1,region_crc,segformer_b5_cityscapes,cityscapes_val_half,200
,,,0.937,937,True,0.11150320702258146,0.20528426256930687,0.017661280930042267,8.396,202,1383,0.048000000000000015,False,0.28991060025542786,0.0367965367965368,0.0,,,6,person,0.1,0.1,region_crc,segformer_b5_cityscapes,cityscapes_val_half,200
,,,0.425,425,True,0.22358308740463126,0.4092039742098367,0.011623932048678398,2.18,202,1383,0.04799999999999999,False,0.6347381864623244,0.1038961038961039,0.0,,,6,person,0.2,0.1,region_crc,segformer_b5_cityscapes,cityscapes_val_half,200
,,,0.999,999,True,0.05724108720836806,0.08439085893358952,0.03645122051239014,0.192,202,1383,0.03200000000000003,False,0.09450830140485313,0.017316017316017316,0.0,,,6,person,0.05,0.5,region_crc,segformer_b5_cityscapes,cityscapes_val_half,200
,,,0.985,985,True,0.11398570961636353,0.19413342105369202,0.02227034978568554,13.56,202,1383,0.03600000000000003,False,0.2554278416347382,0.04329004329004329,0.0,,,6,person,0.1,0.5,region_crc,segformer_b5_cityscapes,cityscapes_val_half,200
