lam,feasible,region_fnr,marked_area_fraction,n_test_images,monitor_ks,monitor_flag,fnr_stratum0,fnr_stratum1,fnr_stratum2,seed,class_name,alpha,rho,method,model,scheme,n_cal_images
0.999,True,0.12282924506950481,0.028668822720646858,154,0.08399999999999996,False,0.1896551724137931,0.03536977491961415,0.0,1,bicycle,0.1,0.5,heuristic,segformer_b2_cityscapes,cityscapes_val_half,191
,True,0.6455696202531646,0.006105249281972647,250,,False,,,,1,bicycle,0.1,0.5,argmax,segformer_b2_cityscapes,cityscapes_val_half,191
0.994,True,0.20901919148672393,0.018269145861268044,154,0.08800000000000002,False,0.3374384236453202,0.08360128617363344,0.0136986301369863,1,bicycle,0.2,0.5,region_crc,segformer_b2_cityscapes,cityscapes_val_half,191
0.988,True,0.276011001985028,0.015476728789508343,154,0.10399999999999998,False,0.4211822660098522,0.10932475884244373,0.0136986301369863,1,bicycle,0.2,0.5,pixel_crc,segformer_b2_cityscapes,cityscapes_val_half,191
0.994,True,0.20901919148672393,0.018269145861268044,154,0.08800000000000002,False,0.3374384236453202,0.08360128617363344,0.0136986301369863,1,bicycle,0.2,0.5,heuristic,segformer_b2_cityscapes,cityscapes_val_half,191
,True,0.6455696202531646,0.006105249281972647,250,,False,,,,1,bicycle,0.2,0.5,argmax,segformer_b2_cityscapes,cityscapes_val_half,191
0.999,True,0.035321919720896704,0.05858704447746277,207,0.10799999999999998,False,0.04987531172069826,0.006036217303822937,0.0,2,person,0.05,0.1,region_crc,segformer_b2_cityscapes,cityscapes_val_half,195
0.999,True,0.035321919720896704,0.05858704447746277,207,0.10799999999999998,False,0.04987531172069826,0.006036217303822937,0.0,2,person,0.05,0.1,pixel_crc,segformer_b2_cityscapes,cityscapes_val_half,195
0.998,True,0.052583384325356475,0.050985343754291534,207,0.10399999999999998,False,0.06483790523690773,0.01006036217303823,0.0,2,person,0.05,0.1,heuristic,segformer_b2_cityscapes,cityscapes_val_half,195
,True,0.5155709342560554,0.015254747122526169,250,,False,,,,2,person,0.05,0.1,argmax,segformer_b2_cityscapes,cityscapes_val_half,195
0.993,True,0.1115153988129265,0.03955545648932457,207,0.09199999999999997,False,0.11970074812967581,0.022132796780684104,0.0,2,person,0.1,0.1,region_crc,segformer_b2_cityscapes,cityscapes_val_half,195
0.996,True,0.09293983410209611,0.04431301727890968,207,0.09199999999999997,False,0.09600997506234414,0.012072434607645875,0.0,2,person,0.1,0.1,pixel_crc,segformer_b2_cityscapes,cityscapes_val_half,195
