condition,class_name,seed,pool,n_cal,n_pool,n_target_total,c_low,kappa,ratio,alpha,rho,raw_median,raw_max,weight_p_test,lam,feasible,region_fnr,marked_area_fraction,weight_sum,weight_ess,frac_at_floor,weight_median,weight_max
fog,person,1,all,198,500,500,0.05,5.0,100.0,0.05,0.5,2.0820420104428194e-05,0.001306953839957714,0.33557041395538917,1.0,False,0.0,1.0,9.900002479553223,198.00009727479176,1.0,0.05000000074505806,0.05000000074505806
fog,person,1,all,198,500,500,0.05,5.0,100.0,0.1,0.5,2.0820420104428194e-05,0.001306953839957714,0.33557041395538917,1.0,False,0.0,1.0,9.900002479553223,198.00009727479176,1.0,0.05000000074505806,0.05000000074505806
fog,person,1,all,198,500,500,0.05,5.0,100.0,0.2,0.5,2.0820420104428194e-05,0.001306953839957714,0.33557041395538917,1.0,False,0.0,1.0,9.900002479553223,198.00009727479176,1.0,0.05000000074505806,0.05000000074505806
fog,person,1,all,198,500,500,0.05,20.0,400.0,0.05,0.5,2.0820420104428194e-05,0.001306953839957714,0.6688962655998699,1.0,False,0.0,1.0,9.900002479553223,198.00009727479176,1.0,0.05000000074505806,0.05000000074505806
fog,person,1,all,198,500,500,0.05,20.0,400.0,0.1,0.5,2.0820420104428194e-05,0.001306953839957714,0.6688962655998699,1.0,False,0.0,1.0,9.900002479553223,198.00009727479176,1.0,0.05000000074505806,0.05000000074505806
fog,person,1,all,198,500,500,0.05,20.0,400.0,0.2,0.5,2.0820420104428194e-05,0.001306953839957714,0.6688962655998699,1.0,False,0.0,1.0,9.900002479553223,198.00009727479176,1.0,0.05000000074505806,0.05000000074505806
fog,person,1,class,198,115,500,0.05,2.0,40.0,0.05,0.5,0.00027550983941182494,0.010184412822127342,0.16806719187129857,1.0,False,0.0,1.0,9.900002479553223,198.00009727479176,1.0,0.05000000074505806,0.05000000074505806
fog,person,1,class,198,115,500,0.05,2.0,40.0,0.1,0.5,0.00027550983941182494,0.010184412822127342,0.16806719187129857,1.0,False,0.0,1.0,9.900002479553223,198.00009727479176,1.0,0.05000000074505806,0.05000000074505806
fog,person,1,class,198,115,500,0.05,2.0,40.0,0.2,0.5,0.00027550983941182494,0.010184412822127342,0.16806719187129857,0.9992518304994888,True,0.1289855072463768,0.018576133996248245,9.900002479553223,198.00009727479176,1.0,0.05000000074505806,0.05000000074505806
fog,person,1,class,198,115,500,0.05,5.0,100.0,0.05,0.5,0.00027550983941182494,0.010184412822127342,0.33557041395538917,1.0,False,0.0,1.0,9.900002479553223,198.00009727479176,1.0,0.05000000074505806,0.05000000074505806
fog,person,1,class,198,115,500,0.05,5.0,100.0,0.1,0.5,0.00027550983941182494,0.010184412822127342,0.33557041395538917,1.0,False,0.0,1.0,9.900002479553223,198.00009727479176,1.0,0.05000000074505806,0.05000000074505806
fog,person,1,class,198,115,500,0.05,5.0,100.0,0.2,0.5,0.00027550983941182494,0.010184412822127342,0.33557041395538917,1.0,False,0.0,1.0,9.900002479553223,198.00009727479176,1.0,0.05000000074505806,0.05000000074505806
fog,person,1,class,198,115,500,0.05,20.0,400.0,0.05,0.5,0.00027550983941182494,0.010184412822127342,0.6688962655998699,1.0,False,0.0,1.0,9.900002479553223,198.00009727479176,1.0,0.05000000074505806,0.05000000074505806
fog,person,1,class,198,115,500,0.05,20.0,400.0,0.1,0.5,0.00027550983941182494,0.010184412822127342,0.6688962655998699,1.0,False,0.0,1.0,9.900002479553223,198.00009727479176,1.0,0.05000000074505806,0.05000000074505806
fog,person,1,class,198,115,500,0.05,20.0,400.0,0.2,0.5,0.00027550983941182494,0.010184412822127342,0.6688962655998699,1.0,False,0.0,1.0,9.900002479553223,198.00009727479176,1.0,0.05000000074505806,0.05000000074505806
fog,person,2,all,195,500,500,0.05,2.0,40.0,0.05,0.5,4.710640860139392e-05,0.003241385333240032,0.17021273832723116,1.0,False,0.0,1.0,9.750001907348633,195.0000834465132,1.0,0.05000000074505806,0.05000000074505806
fog,person,2,all,195,500,500,0.05,2.0,40.0,0.1,0.5,4.710640860139392e-05,0.003241385333240032,0.17021273832723116,1.0,False,0.0,1.0,9.750001907348633,195.0000834465132,1.0,0.05000000074505806,0.05000000074505806
fog,person,2,all,195,500,500,0.05,2.0,40.0,0.2,0.5,4.710640860139392e-05,0.003241385333240032,0.17021273832723116,0.9994918405574394,True,0.1072463768115942,0.021893739700317383,9.750001907348633,195.0000834465132,1.0,0.05000000074505806,0.05000000074505806
fog,person,2,all,195,500,500,0.05,5.0,100.0,0.05,0.5,4.710640860139392e-05,0.003241385333240032,0.3389830070129644,1.0,False,0.0,1.0,9.750001907348633,195.0000834465132,1.0,0.05000000074505806,0.05000000074505806
fog,person,2,all,195,500,500,0.05,5.0,100.0,0.1,0.5,4.710640860139392e-05,0.003241385333240032,0.3389830070129644,1.0,False,0.0,1.0,9.750001907348633,195.0000834465132,1.0,0.05000000074505806,0.05000000074505806
fog,person,2,all,195,500,500,0.05,5.0,100.0,0.2,0.5,4.710640860139392e-05,0.003241385333240032,0.3389830070129644,1.0,False,0.0,1.0,9.750001907348633,195.0000834465132,1.0,0.05000000074505806,0.05000000074505806
fog,person,2,all,195,500,500,0.05,20.0,400.0,0.05,0.5,4.710640860139392e-05,0.003241385333240032,0.672268864462148,1.0,False,0.0,1.0,9.750001907348633,195.0000834465132,1.0,0.05000000074505806,0.05000000074505806
fog,person,2,all,195,500,500,0.05,20.0,400.0,0.1,0.5,4.710640860139392e-05,0.003241385333240032,0.672268864462148,1.0,False,0.0,1.0,9.750001907348633,195.0000834465132,1.0,0.05000000074505806,0.05000000074505806
fog,person,2,all,195,500,500,0.05,20.0,400.0,0.2,0.5,4.710640860139392e-05,0.003241385333240032,0.672268864462148,1.0,False,0.0,1.0,9.750001907348633,195.0000834465132,1.0,0.05000000074505806,0.05000000074505806
fog,person,2,class,195,115,500,0.05,2.0,40.0,0.05,0.5,0.0002710331464186311,0.010662214830517769,0.17021273832723116,1.0,False,0.0,1.0,9.750001907348633,195.0000834465132,1.0,0.05000000074505806,0.05000000074505806
fog,person,2,class,195,115,500,0.05,2.0,40.0,0.1,0.5,0.0002710331464186311,0.010662214830517769,0.17021273832723116,1.0,False,0.0,1.0,9.750001907348633,195.0000834465132,1.0,0.05000000074505806,0.05000000074505806
fog,person,2,class,195,115,500,0.05,2.0,40.0,0.2,0.5,0.0002710331464186311,0.010662214830517769,0.17021273832723116,0.9994918405574394,True,0.1072463768115942,0.021893739700317383,9.750001907348633,195.0000834465132,1.0,0.05000000074505806,0.05000000074505806
fog,person,2,class,195,115,500,0.05,5.0,100.0,0.05,0.5,0.0002710331464186311,0.010662214830517769,0.3389830070129644,1.0,False,0.0,1.0,9.750001907348633,195.0000834465132,1.0,0.05000000074505806,0.05000000074505806
fog,person,2,class,195,115,500,0.05,5.0,100.0,0.1,0.5,0.0002710331464186311,0.010662214830517769,0.3389830070129644,1.0,False,0.0,1.0,9.750001907348633,195.0000834465132,1.0,0.05000000074505806,0.05000000074505806
