setting,label,experiment,model,scheme,class_name,n_cells,n_test_images_full,alpha,rho,n_permutations,budget,no_review_rate,residual_area,area_rel,q05_rel,q50_rel,q95_rel,closed_form_rel,single_random_rel,below_band
region_16PDC,Held-out 16PDC,x3_triage__region_16PDC__marida_unet_holdout_region_16PDC,marida_unet_holdout_region_16PDC,marida_holdout_region_16PDC,all_classes,1,182,0.2,0.5,1000,0.5,0.028846153846153848,0.020604395604395604,0.7142857142857142,0.1904761904761905,0.5079365079365079,0.8095238095238095,0.5,0.46031746031745757,False
region_16PDC,Held-out 16PDC,x3_triage__region_16PDC__marida_unet_holdout_region_16PDC,marida_unet_holdout_region_16PDC,marida_holdout_region_16PDC,marine_debris,1,182,0.2,0.5,1000,0.0,0.028846153846153848,0.028846153846153848,1.0,1.0,1.0,1.0,1.0,0.9999999999999983,False
region_16PDC,Held-out 16PDC,x3_triage__region_16PDC__marida_unet_holdout_region_16PDC,marida_unet_holdout_region_16PDC,marida_holdout_region_16PDC,marine_debris,1,182,0.2,0.5,1000,0.05,0.028846153846153848,0.028846153846153848,1.0,0.8095238095238095,1.0,1.0,0.95,0.9999999999999983,False
region_16PDC,Held-out 16PDC,x3_triage__region_16PDC__marida_unet_holdout_region_16PDC,marida_unet_holdout_region_16PDC,marida_holdout_region_16PDC,marine_debris,1,182,0.2,0.5,1000,0.1,0.028846153846153848,0.028846153846153848,1.0,0.6666666666666666,0.9047619047619048,1.0,0.9,0.8095238095238076,False
region_16PDC,Held-out 16PDC,x3_triage__region_16PDC__marida_unet_holdout_region_16PDC,marida_unet_holdout_region_16PDC,marida_holdout_region_16PDC,marine_debris,1,182,0.2,0.5,1000,0.15,0.028846153846153848,0.028846153846153848,1.0,0.5873015873015872,0.8571428571428571,1.0,0.85,0.8095238095238076,False
region_16PDC,Held-out 16PDC,x3_triage__region_16PDC__marida_unet_holdout_region_16PDC,marida_unet_holdout_region_16PDC,marida_holdout_region_16PDC,marine_debris,1,182,0.2,0.5,1000,0.2,0.028846153846153848,0.023351648351648352,0.8095238095238095,0.5238095238095238,0.8095238095238095,1.0,0.8,0.8095238095238076,False
region_16PDC,Held-out 16PDC,x3_triage__region_16PDC__marida_unet_holdout_region_16PDC,marida_unet_holdout_region_16PDC,marida_holdout_region_16PDC,marine_debris,1,182,0.2,0.5,1000,0.25,0.028846153846153848,0.023351648351648352,0.8095238095238095,0.4603174603174603,0.7936507936507936,1.0,0.75,0.8095238095238076,False
region_16PDC,Held-out 16PDC,x3_triage__region_16PDC__marida_unet_holdout_region_16PDC,marida_unet_holdout_region_16PDC,marida_holdout_region_16PDC,marine_debris,1,182,0.2,0.5,1000,0.3,0.028846153846153848,0.023351648351648352,0.8095238095238095,0.380952380952381,0.7142857142857141,1.0,0.7,0.8095238095238076,False
region_16PDC,Held-out 16PDC,x3_triage__region_16PDC__marida_unet_holdout_region_16PDC,marida_unet_holdout_region_16PDC,marida_holdout_region_16PDC,marine_debris,1,182,0.2,0.5,1000,0.35,0.028846153846153848,0.023351648351648352,0.8095238095238095,0.3333333333333333,0.6666666666666666,0.9365079365079364,0.65,0.7142857142857141,False
region_16PDC,Held-out 16PDC,x3_triage__region_16PDC__marida_unet_holdout_region_16PDC,marida_unet_holdout_region_16PDC,marida_holdout_region_16PDC,marine_debris,1,182,0.2,0.5,1000,0.4,0.028846153846153848,0.023351648351648352,0.8095238095238095,0.25396825396825395,0.619047619047619,0.9047619047619048,0.6,0.7142857142857141,False
region_16PDC,Held-out 16PDC,x3_triage__region_16PDC__marida_unet_holdout_region_16PDC,marida_unet_holdout_region_16PDC,marida_holdout_region_16PDC,marine_debris,1,182,0.2,0.5,1000,0.45,0.028846153846153848,0.020604395604395604,0.7142857142857142,0.1904761904761905,0.5555555555555555,0.8730158730158729,0.55,0.46031746031745757,False
region_16PDC,Held-out 16PDC,x3_triage__region_16PDC__marida_unet_holdout_region_16PDC,marida_unet_holdout_region_16PDC,marida_holdout_region_16PDC,marine_debris,1,182,0.2,0.5,1000,0.5,0.028846153846153848,0.020604395604395604,0.7142857142857142,0.1904761904761905,0.5079365079365079,0.8095238095238095,0.5,0.46031746031745757,False
region_16PEC,Held-out 16PEC,x3_triage__region_16PEC__marida_unet_holdout_region_16PEC,marida_unet_holdout_region_16PEC,marida_holdout_region_16PEC,all_classes,1,193,0.2,0.5,1000,0.0,0.05345423143350604,0.05345423143350604,1.0,1.0,1.0,1.0,1.0,0.9999999999999992,False
region_16PEC,Held-out 16PEC,x3_triage__region_16PEC__marida_unet_holdout_region_16PEC,marida_unet_holdout_region_16PEC,marida_holdout_region_16PEC,all_classes,1,193,0.2,0.5,1000,0.05,0.05345423143350604,0.05345423143350604,1.0,0.8382875605815832,0.9806138933764137,1.0,0.95,0.9030694668820665,False
region_16PEC,Held-out 16PEC,x3_triage__region_16PEC__marida_unet_holdout_region_16PEC,marida_unet_holdout_region_16PEC,marida_holdout_region_16PEC,all_classes,1,193,0.2,0.5,1000,0.1,0.05345423143350604,0.05345423143350604,1.0,0.7537964458804525,0.9030694668820679,1.0,0.9,0.9030694668820665,False
region_16PEC,Held-out 16PEC,x3_triage__region_16PEC__marida_unet_holdout_region_16PEC,marida_unet_holdout_region_16PEC,marida_holdout_region_16PEC,all_classes,1,193,0.2,0.5,1000,0.15,0.05345423143350604,0.05345423143350604,1.0,0.6768982229402262,0.8707592891760905,1.0,0.85,0.8513731825525034,False
region_16PEC,Held-out 16PEC,x3_triage__region_16PEC__marida_unet_holdout_region_16PEC,marida_unet_holdout_region_16PEC,marida_holdout_region_16PEC,all_classes,1,193,0.2,0.5,1000,0.2,0.05345423143350604,0.04620034542314335,0.8642972536348951,0.592891760904685,0.8061389337641358,0.9676898222940228,0.8,0.8513731825525034,False
region_16PEC,Held-out 16PEC,x3_triage__region_16PEC__marida_unet_holdout_region_16PEC,marida_unet_holdout_region_16PEC,marida_holdout_region_16PEC,all_classes,1,193,0.2,0.5,1000,0.25,0.05345423143350604,0.03756476683937824,0.7027463651050082,0.5476575121163167,0.754442649434572,0.9353796445880453,0.75,0.8513731825525034,False
region_16PEC,Held-out 16PEC,x3_triage__region_16PEC__marida_unet_holdout_region_16PEC,marida_unet_holdout_region_16PEC,marida_holdout_region_16PEC,all_classes,1,193,0.2,0.5,1000,0.3,0.05345423143350604,0.03367875647668394,0.630048465266559,0.4876413570274637,0.705977382875606,0.9030694668820679,0.7,0.8513731825525034,False
region_16PEC,Held-out 16PEC,x3_triage__region_16PEC__marida_unet_holdout_region_16PEC,marida_unet_holdout_region_16PEC,marida_holdout_region_16PEC,all_classes,1,193,0.2,0.5,1000,0.35,0.05345423143350604,0.025906735751295335,0.48465266558966075,0.42326332794830374,0.6558966074313408,0.8707592891760905,0.65,0.8513731825525034,False
region_16PEC,Held-out 16PEC,x3_triage__region_16PEC__marida_unet_holdout_region_16PEC,marida_unet_holdout_region_16PEC,marida_holdout_region_16PEC,all_classes,1,193,0.2,0.5,1000,0.4,0.05345423143350604,0.02072538860103627,0.38772213247172865,0.3747980613893377,0.6090468497576736,0.8222940226171246,0.6,0.7544426494345706,False
region_16PEC,Held-out 16PEC,x3_triage__region_16PEC__marida_unet_holdout_region_16PEC,marida_unet_holdout_region_16PEC,marida_holdout_region_16PEC,all_classes,1,193,0.2,0.5,1000,0.45,0.05345423143350604,0.02072538860103627,0.38772213247172865,0.3341680129240711,0.5638126009693054,0.7867528271405494,0.55,0.7221324717285935,False
region_16PEC,Held-out 16PEC,x3_triage__region_16PEC__marida_unet_holdout_region_16PEC,marida_unet_holdout_region_16PEC,marida_holdout_region_16PEC,all_classes,1,193,0.2,0.5,1000,0.5,0.05345423143350604,0.02072538860103627,0.38772213247172865,0.27463651050080773,0.5040387722132472,0.7350565428109854,0.5,0.6009693053311791,False
region_16PEC,Held-out 16PEC,x3_triage__region_16PEC__marida_unet_holdout_region_16PEC,marida_unet_holdout_region_16PEC,marida_holdout_region_16PEC,marine_debris,1,193,0.2,0.5,1000,0.0,0.05345423143350604,0.05345423143350604,1.0,1.0,1.0,1.0,1.0,0.9999999999999992,False
region_16PEC,Held-out 16PEC,x3_triage__region_16PEC__marida_unet_holdout_region_16PEC,marida_unet_holdout_region_16PEC,marida_holdout_region_16PEC,marine_debris,1,193,0.2,0.5,1000,0.05,0.05345423143350604,0.05345423143350604,1.0,0.8382875605815832,0.9806138933764137,1.0,0.95,0.9030694668820665,False
region_16PEC,Held-out 16PEC,x3_triage__region_16PEC__marida_unet_holdout_region_16PEC,marida_unet_holdout_region_16PEC,marida_holdout_region_16PEC,marine_debris,1,193,0.2,0.5,1000,0.1,0.05345423143350604,0.05345423143350604,1.0,0.7537964458804525,0.9030694668820679,1.0,0.9,0.9030694668820665,False
region_16PEC,Held-out 16PEC,x3_triage__region_16PEC__marida_unet_holdout_region_16PEC,marida_unet_holdout_region_16PEC,marida_holdout_region_16PEC,marine_debris,1,193,0.2,0.5,1000,0.15,0.05345423143350604,0.05345423143350604,1.0,0.6768982229402262,0.8707592891760905,1.0,0.85,0.8513731825525034,False
region_16PEC,Held-out 16PEC,x3_triage__region_16PEC__marida_unet_holdout_region_16PEC,marida_unet_holdout_region_16PEC,marida_holdout_region_16PEC,marine_debris,1,193,0.2,0.5,1000,0.2,0.05345423143350604,0.04620034542314335,0.8642972536348951,0.592891760904685,0.8061389337641358,0.9676898222940228,0.8,0.8513731825525034,False
region_16PEC,Held-out 16PEC,x3_triage__region_16PEC__marida_unet_holdout_region_16PEC,marida_unet_holdout_region_16PEC,marida_holdout_region_16PEC,marine_debris,1,193,0.2,0.5,1000,0.25,0.05345423143350604,0.03756476683937824,0.7027463651050082,0.5476575121163167,0.754442649434572,0.9353796445880453,0.75,0.8513731825525034,False
